,Sentence,Name,Disease,SSNs,Dates,Address,City,Zipcode,Url,Account,Medical Record,Contact,Email,Passport,IP Address
143,"Mr Erwin Lehner has  Diarrhea . Patient SSN 409594900 . He came on 3/2/1914 . Patient home address is  677 Hettinger Passage Boston , 2459 .
we gave him http://soundcloud.com/aries-52/summerbits . Patient account number 9031766910 . Medical record Id MR9691013 . Patient 0361-285-43-4 Email is ForrestJacobs@ekidz.com.au
Patient Id 49370062 . Here is the IP 103.137.240.0",Erwin Lehner,Diarrhea,409594900,3/2/1914,677 Hettinger Passage,Boston,2459,http://soundcloud.com/aries-52/summerbits,9031766910,MR9691013,0361-285-43-4,ForrestJacobs@ekidz.com.au,49370062,103.137.240.0
144,"Mr Terrence Graham is suffering from cold . Patient SSN 058 89 1259 . He arrived on 3/2/1914 . Patient is from 826 Hermann Run Suite 37 Cambridge , 2461 .
Advised him to reach http://www.soundcloud.com/mathiasache . Patient account number 6760331459 . Medical record Id MR7468610 . Patient 07049 16 41 Email is CythiaReichel@servemymail.com
Patient Id Z513940 . IP address 123.253.112.0",Terrence Graham,cold,058 89 1259,3/2/1914,826 Hermann Run Suite 37,Cambridge,2461,http://www.soundcloud.com/mathiasache,6760331459,MR7468610,07049 16 41,CythiaReichel@servemymail.com,Z513940,123.253.112.0
145,"Mr Domingo Schaefer is suffering from cancer . Patient SSN 885-54-9781 . He arrived on 28.4.1998. . Patient is from 572 Moen Forge Hampden , 1106 .
Advised him to reach http://picasaweb.google.com/lh/photo/Xyml_pvg5Xc5sXliPnYjdjBPFtERcSvqpRI6vP3N6YI?feat=embedwebsite . Patient account number 3229607681 . Medical record Id CA3928728 . Patient 01796-879-71-70 Email is SandraHoppe@hot.ee
Patient Id 71690018 . IP address 103.151.109.0",Domingo Schaefer,cancer,885-54-9781,28.4.1998.,572 Moen Forge,Hampden,1106,http://picasaweb.google.com/lh/photo/Xyml_pvg5Xc5sXliPnYjdjBPFtERcSvqpRI6vP3N6YI?feat=embedwebsite,3229607681,CA3928728,01796-879-71-70,SandraHoppe@hot.ee,71690018,103.151.109.0
146,"Mr Tula Kshlerin has  headache . Patient SSN 479 95 6799 . He came on 19/4/1903 . Patient home address is  1094 Herman Stravenue Apt 62 Somerville , 1086 .
we gave him http://yfrog.com/75676d902d3fb3403958f349rj . Patient account number 8784460363 . Medical record Id MR7003497 . Patient 004 96 81-6 Email is ConnieSchowalter@mail2hades.com
Patient Id 0296 . Here is the IP 202.127.32.0",Tula Kshlerin,headache,479 95 6799,19/4/1903,1094 Herman Stravenue Apt 62,Somerville,1086,http://yfrog.com/75676d902d3fb3403958f349rj,8784460363,MR7003497,004 96 81-6,ConnieSchowalter@mail2hades.com,0296,202.127.32.0
147,"Mr Tommy Crooks is suffering from stomach ache . Patient SSN 885-54-9781 . He arrived on ๓/๖/๒๕๕๕ . Patient is from 155 Okuneva View Suite 84 Tewksbury , 1904 .
Advised him to reach http://soundcloud.com/poq/poq-vuvuzela . Patient account number 2549278786 . Medical record Id ID7087063 . Patient 01237-704-56 07 Email is DanyelleHodkiewicz@bangkok2000.com
Patient Id 402255 . IP address 170.251.170.0",Tommy Crooks,stomach ache,885-54-9781,๓/๖/๒๕๕๕,155 Okuneva View Suite 84,Tewksbury,1904,http://soundcloud.com/poq/poq-vuvuzela,2549278786,ID7087063,01237-704-56 07,DanyelleHodkiewicz@bangkok2000.com,402255,170.251.170.0
148,"Mrs Kristan Wintheiser is suffering from stomach ache . Her SSN 571-71-0286 . She contacted on 11/3/1948 . Patient is from 522 Pagac Gateway Suite 31 Boston , 2151 .
Advised her to reach http://www.flickr.com/photos/cksample3/4383141582/ . Patient account number is  4929208167 . Medical record Id CA0961628 . Her 0396-856-65 65 Email is LyndonBins@iprimus.com.au
Patient Id 4253447 . IP address 209.87.224.0",Kristan Wintheiser,stomach ache,571-71-0286,11/3/1948,522 Pagac Gateway Suite 31,Boston,2151,http://www.flickr.com/photos/cksample3/4383141582/,4929208167,CA0961628,0396-856-65 65,LyndonBins@iprimus.com.au,4253447,209.87.224.0
149,"Mrs Stanford Stanton is suffering from cough . Her SSN 229-97-7831 . She contacted on 4/2/1950 . Patient is from 369 Friesen Manor Suite 94 Chelsea , 1950 .
Advised her to reach http://soundcloud.com/b-live-aka-die-schraube/ich-kann-sehen-promo . Patient account number is  6641821094 . Medical record Id DS6753519 . Her 0326924613 12 Email is TaishaBalistreri@email.nu
Patient Id F0467756 . IP address 203.28.249.0",Stanford Stanton,cough,229-97-7831,4/2/1950,369 Friesen Manor Suite 94,Chelsea,1950,http://soundcloud.com/b-live-aka-die-schraube/ich-kann-sehen-promo,6641821094,DS6753519,0326924613 12,TaishaBalistreri@email.nu,F0467756,203.28.249.0
150,"Mr Kermit Barton is suffering from fever . Patient SSN 642 86 9167 . He arrived on H24.10.9 . Patient is from 189 Jerde Mews Unit 75 Northbridge , 2720 .
Advised him to reach http://www.gametrailers.com/video/angry-video-screwattack/701484 . Patient account number 4868291599 . Medical record Id ID5396619 . Patient 01480274-8684 Email is JeniseBoyer@karbasi.com
Patient Id W1119685 . IP address 103.120.6.0",Kermit Barton,fever,642 86 9167,H24.10.9,189 Jerde Mews Unit 75,Northbridge,2720,http://www.gametrailers.com/video/angry-video-screwattack/701484,4868291599,ID5396619,01480274-8684,JeniseBoyer@karbasi.com,W1119685,103.120.6.0
151,"Mr Felicia Hudson has  fever . Patient SSN 700-28-0136 . He came on 27.12.1986 . Patient home address is  547 Ziemann Burg Chatham , 2351 .
we gave him http://soundcloud.com/phono-uno/hotbox . Patient account number 9107491404 . Medical record Id ID5991841 . Patient 0013241 0 08 Email is TabethaPredovic@iobox.com
Patient Id W144563 . Here is the IP 45.11.164.0",Felicia Hudson,fever,700-28-0136,27.12.1986,547 Ziemann Burg,Chatham,2351,http://soundcloud.com/phono-uno/hotbox,9107491404,ID5991841,0013241 0 08,TabethaPredovic@iobox.com,W144563,45.11.164.0
152,"Mr Corinna Boehm is suffering from headache . Patient SSN 364-38-4803 . He arrived on 25/6/1993 . Patient is from 449 Cremin Estate Apt 20 Quincy , 1951 .
Advised him to reach http://soundcloud.com/michaelgrischkat-1/summer-feelings-2010 . Patient account number 5199051038 . Medical record Id DS1920538 . Patient 03756 960-46-01 Email is TheoKuvalis@coolmail.com
Patient Id Z2FM35262 . IP address 192.92.86.0",Corinna Boehm,headache,364-38-4803,25/6/1993,449 Cremin Estate Apt 20,Quincy,1951,http://soundcloud.com/michaelgrischkat-1/summer-feelings-2010,5199051038,DS1920538,03756 960-46-01,TheoKuvalis@coolmail.com,Z2FM35262,192.92.86.0
153,"Mrs Particia Feeney is suffering from headache . Her SSN 256-70-6017 . She contacted on 9/1/2023 . Patient is from 789 Torphy Trafficway Suite 59 Amherst , 2149 .
Advised her to reach http://www.youtube.com/watch?v=riEUjF0KhMo . Patient account number is  2307113818 . Medical record Id DS2351176 . Her 010784-50 5-0 Email is HomerMayer@usanetmail.com
Patient Id I088871 . IP address 193.3.56.0",Particia Feeney,headache,256-70-6017,9/1/2023,789 Torphy Trafficway Suite 59,Amherst,2149,http://www.youtube.com/watch?v=riEUjF0KhMo,2307113818,DS2351176,010784-50 5-0,HomerMayer@usanetmail.com,I088871,193.3.56.0
154,"Mr Homer Mayer has  heart attack . Patient SSN 708-34-6395 . He came on 25/6/1993 . Patient home address is  514 Kunze Meadow West Springfield , 2151 .
we gave him http://soundcloud.com/projekt-psrz/omg-f-my-finals-psrz-june-3rd-week-live-mix . Patient account number 3362815244 . Medical record Id CA7769944 . Patient 054 769-68 63 Email is KimberVolkman@mail2iowa.com
Patient Id YVE993189 . Here is the IP 185.115.84.0",Homer Mayer,heart attack,708-34-6395,25/6/1993,514 Kunze Meadow,West Springfield,2151,http://soundcloud.com/projekt-psrz/omg-f-my-finals-psrz-june-3rd-week-live-mix,3362815244,CA7769944,054 769-68 63,KimberVolkman@mail2iowa.com,YVE993189,185.115.84.0
155,"Mr Clinton Monahan has  cough . Patient SSN 357-50-5755 . He came on 3/1/1920 . Patient home address is  676 Nolan Parade Longmeadow , 2169 .
we gave him http://soundcloud.com/sketch-records/bed-wish-mudhut-filthy-rehab-remix . Patient account number 1228619690 . Medical record Id MR8393974 . Patient 02963-958 79 72 Email is LoganTorphy@88.am
Patient Id M13H42740 . Here is the IP 80.95.224.0",Clinton Monahan,cough,357-50-5755,3/1/1920,676 Nolan Parade,Longmeadow,2169,http://soundcloud.com/sketch-records/bed-wish-mudhut-filthy-rehab-remix,1228619690,MR8393974,02963-958 79 72,LoganTorphy@88.am,M13H42740,80.95.224.0
156,"Mr Malia Kuhic has  Diarrhea . Patient SSN 921800040 . He came on 20/4/2004 . Patient home address is  944 Fay Mill Milford , 2540 .
we gave him http://soundcloud.com/groups/poison-club-dusseldorf . Patient account number 5909785404 . Medical record Id CA8228841 . Patient 0531026 92 Email is LyndonBins@iprimus.com.au
Patient Id 9768231 . Here is the IP 194.77.66.0",Malia Kuhic,Diarrhea,921800040,20/4/2004,944 Fay Mill,Milford,2540,http://soundcloud.com/groups/poison-club-dusseldorf,5909785404,CA8228841,0531026 92,LyndonBins@iprimus.com.au,9768231,194.77.66.0
157,"Mr Coleman Zboncak has  cold . Patient SSN 739-17-5105 . He came on 1/7/1998 . Patient home address is  559 Beier Club Suite 49 Franklin , 1001 .
we gave him http://soundcloud.com/klirrfaktorx/klirrfaktor-triebwerk-dresden-8jahre-tekknoforum . Patient account number 6222875161 . Medical record Id ID0282454 . Patient 0382-82631 2 Email is NoellaHermiston@andylau.net
Patient Id 787365439 . Here is the IP 176.52.176.0",Coleman Zboncak,cold,739-17-5105,1/7/1998,559 Beier Club Suite 49,Franklin,1001,http://soundcloud.com/klirrfaktorx/klirrfaktor-triebwerk-dresden-8jahre-tekknoforum,6222875161,ID0282454,0382-82631 2,NoellaHermiston@andylau.net,787365439,176.52.176.0
158,"Mr Morgan Dietrich is suffering from cough . Patient SSN 719-78-1908 . He arrived on 1/7/1998 . Patient is from 1036 Ebert Bridge Apt 83 Fairhaven , 1604 .
Advised him to reach http://bugnuz.tumblr.com/post/697957566/volksters-choice . Patient account number 0553033838 . Medical record Id CA9915127 . Patient 016 36 37-13 Email is MelindaPrice@mail2greg.com
Patient Id L634382 . IP address 212.85.128.0",Morgan Dietrich,cough,719-78-1908,1/7/1998,1036 Ebert Bridge Apt 83,Fairhaven,1604,http://bugnuz.tumblr.com/post/697957566/volksters-choice,0553033838,CA9915127,016 36 37-13,MelindaPrice@mail2greg.com,L634382,212.85.128.0
159,"Mr Katia Thiel is suffering from headache . Patient SSN 740-39-7665 . He arrived on 21.9.1971 . Patient is from 824 Harris Rue Apt 75 Southwick , 1606 .
Advised him to reach http://soundcloud.com/renocourier/i-just-call-it-techno . Patient account number 2676315966 . Medical record Id ID9909159 . Patient 0051784-62 68 Email is AlvaKrajcik@buyersusa.com
Patient Id 223445 . IP address 200.5.9.0",Katia Thiel,headache,740-39-7665,21.9.1971,824 Harris Rue Apt 75,Southwick,1606,http://soundcloud.com/renocourier/i-just-call-it-techno,2676315966,ID9909159,0051784-62 68,AlvaKrajcik@buyersusa.com,223445,200.5.9.0
160,"Mr Jeni Roob has  cancer . Patient SSN 542-50-9281 . He came on 4/6/1971 . Patient home address is  525 Mills Quay Apt 74 Lowell , 1201 .
we gave him http://imgur.com/hT0wL.png . Patient account number 0837642677 . Medical record Id ID9012597 . Patient 09728-584 65 02 Email is BerniceMaggio@foodmail.com
Patient Id 314355538349 . Here is the IP 45.67.228.0",Jeni Roob,cancer,542-50-9281,4/6/1971,525 Mills Quay Apt 74,Lowell,1201,http://imgur.com/hT0wL.png,0837642677,ID9012597,09728-584 65 02,BerniceMaggio@foodmail.com,314355538349,45.67.228.0
161,"Mr Ernie Stamm has  stomach ache . Patient SSN 468-06-8602 . He came on 24/4/1917 . Patient home address is  774 Kuhlman Green Taunton , 1532 .
we gave him http://www.youtube.com/watch?v=mlBadkb-xqw . Patient account number 4667745843 . Medical record Id CA9734267 . Patient 0361-285-43-4 Email is MertieLeannon@city-of-lichfield.com
Patient Id 238117544 . Here is the IP 103.71.156.0",Ernie Stamm,stomach ache,468-06-8602,24/4/1917,774 Kuhlman Green,Taunton,1532,http://www.youtube.com/watch?v=mlBadkb-xqw,4667745843,CA9734267,0361-285-43-4,MertieLeannon@city-of-lichfield.com,238117544,103.71.156.0
162,"Mr Edmundo Dach is suffering from heart attack . Patient SSN 220-31-4175 . He arrived on 16.1.2023 . Patient is from 564 Rippin Trace Apt 93 Lynn , 2143 .
Advised him to reach http://tweetphoto.com/31300678 . Patient account number 8696390836 . Medical record Id ID5048110 . Patient 02068879-85 8 Email is LoydWhite@virgin.net
Patient Id N98487391 . IP address 103.27.112.0",Edmundo Dach,heart attack,220-31-4175,16.1.2023,564 Rippin Trace Apt 93,Lynn,2143,http://tweetphoto.com/31300678,8696390836,ID5048110,02068879-85 8,LoydWhite@virgin.net,N98487391,103.27.112.0
163,"Mrs Jenell Deckow is suffering from cough . Her SSN 843-40-3310 . She contacted on 6/4/1919 . Patient is from 744 Lehner Overpass Suite 71 Westport , 2114 .
Advised her to reach http://i65.photobucket.com/albums/h230/re99ie/JTYPE/Roadster/hosecorrosion.jpg . Patient account number is  2031216209 . Medical record Id DS0259090 . Her 034908 087 27-18 Email is LinwoodKutch@mail2mba.com
Patient Id R05N17419 . IP address 45.175.21.0",Jenell Deckow,cough,843-40-3310,6/4/1919,744 Lehner Overpass Suite 71,Westport,2114,http://i65.photobucket.com/albums/h230/re99ie/JTYPE/Roadster/hosecorrosion.jpg,2031216209,DS0259090,034908 087 27-18,LinwoodKutch@mail2mba.com,R05N17419,45.175.21.0
164,"Mrs Caron Will is suffering from stomach ache . Her SSN 031-39-2629 . She contacted on 3/2/1989 . Patient is from 1032 Keeling Rue Auburn , 1905 .
Advised her to reach http://soundcloud.com/mrenti . Patient account number is  0267723191 . Medical record Id DS7680545 . Her 0745-43263 25 Email is KevaShanahan@mail2seychelles.com
Patient Id S23563293 . IP address 185.174.100.0",Caron Will,stomach ache,031-39-2629,3/2/1989,1032 Keeling Rue,Auburn,1905,http://soundcloud.com/mrenti,0267723191,DS7680545,0745-43263 25,KevaShanahan@mail2seychelles.com,S23563293,185.174.100.0
165,"Mr Lana Grady has  Diarrhea . Patient SSN 030-96-2007 . He came on 27/5/1972 . Patient home address is  709 Cummings Green Gardner , 1562 .
we gave him http://www.youtube.com/watch?v=eVufet_zJzw . Patient account number 0760383089 . Medical record Id MR7795720 . Patient 0048-318 7847 Email is SheldonBlick@as-if.com
Patient Id U5462831 . Here is the IP 80.231.0.0",Lana Grady,Diarrhea,030-96-2007,27/5/1972,709 Cummings Green,Gardner,1562,http://www.youtube.com/watch?v=eVufet_zJzw,0760383089,MR7795720,0048-318 7847,SheldonBlick@as-if.com,U5462831,80.231.0.0
166,"Mr Dave Hilpert has  cold . Patient SSN 9111219 . He came on 11/3/1948 . Patient home address is  899 Runolfsson Green Boston , 2116 .
we gave him http://www.youtube.com/watch?v=mtUWZccFoII&feature=player_embedded . Patient account number 6165175050 . Medical record Id DS6489670 . Patient 0326 92 3042 Email is ColemanZboncak@mail2southafrica.com
Patient Id E3H963934 . Here is the IP 178.18.112.0",Dave Hilpert,cold,9111219,11/3/1948,899 Runolfsson Green,Boston,2116,http://www.youtube.com/watch?v=mtUWZccFoII&feature=player_embedded,6165175050,DS6489670,0326 92 3042,ColemanZboncak@mail2southafrica.com,E3H963934,178.18.112.0
167,"Mr Maryalice Larson is suffering from heart attack . Patient SSN 867-52-8187 . He arrived on 9-26-1965 . Patient is from 883 Gottlieb Rest Apt 63 Barnstable , 1940 .
Advised him to reach http://i106.photobucket.com/albums/m255/MX5_Dorifto/Lexus/G4.jpg . Patient account number 1564834641 . Medical record Id ID6364551 . Patient 03548-94 76-86 Email is JanelleGorczany@priest.com
Patient Id V7889636 . IP address 149.126.168.0",Maryalice Larson,heart attack,867-52-8187,9-26-1965,883 Gottlieb Rest Apt 63,Barnstable,1940,http://i106.photobucket.com/albums/m255/MX5_Dorifto/Lexus/G4.jpg,1564834641,ID6364551,03548-94 76-86,JanelleGorczany@priest.com,V7889636,149.126.168.0
168,"Mr Greg Mayer has  fever . Patient SSN 941-98-2491 . He came on 2019-9-13 . Patient home address is  154 Leannon Gardens Suite 18 Fall River , 2135 .
we gave him http://twitgoo.com/174pwg . Patient account number 7170290521 . Medical record Id DS4629342 . Patient 027 249-84-12 Email is NigelGreen@dirtracers.com
Patient Id Y198344 . Here is the IP 216.120.172.0",Greg Mayer,fever,941-98-2491,2019-9-13,154 Leannon Gardens Suite 18,Fall River,2135,http://twitgoo.com/174pwg,7170290521,DS4629342,027 249-84-12,NigelGreen@dirtracers.com,Y198344,216.120.172.0
169,"Mr Mose Bauch is suffering from headache . Patient SSN 193-95-8411 . He arrived on 7/1/1974 . Patient is from 605 White Gardens Westport , 2745 .
Advised him to reach http://soundcloud.com/engine-earz-and-dj-luxy/pyramids-10-min-teaser-mix-dj-luxy-engineearz-experiment . Patient account number 2090991088 . Medical record Id MR6940561 . Patient 085-031-4296 Email is RaymondSchroeder@sinamail.com
Patient Id N93292739 . IP address 158.132.0.0",Mose Bauch,headache,193-95-8411,7/1/1974,605 White Gardens,Westport,2745,http://soundcloud.com/engine-earz-and-dj-luxy/pyramids-10-min-teaser-mix-dj-luxy-engineearz-experiment,2090991088,MR6940561,085-031-4296,RaymondSchroeder@sinamail.com,N93292739,158.132.0.0
170,"Mr Christian Williamson has  cough . Patient SSN 866 10 9812 . He came on 4/2/1950 . Patient home address is  120 Metz Vista Apt 62 Bridgewater , 1001 .
we gave him http://www.soundcloud.com/der-lehrling . Patient account number 9235319089 . Medical record Id DS8650946 . Patient 09023-50 05 Email is JamesWyman@iamwasted.com
Patient Id 6077957950 . Here is the IP 91.198.4.0",Christian Williamson,cough,866 10 9812,4/2/1950,120 Metz Vista Apt 62,Bridgewater,1001,http://www.soundcloud.com/der-lehrling,9235319089,DS8650946,09023-50 05,JamesWyman@iamwasted.com,6077957950,91.198.4.0
171,"Mr Kendal Bartoletti has  fever . Patient SSN 054-49-3703 . He came on 10.9.2015 . Patient home address is  177 Howell Gateway Unit 66 Clinton , 2492 .
we gave him http://www.youtube.com/watch?v=S4tlfV3_yEI&feature=related . Patient account number 7076061248 . Medical record Id DS7982329 . Patient 02947 564109 Email is NathanialKuhic@epost.de
Patient Id 4154205 . Here is the IP 199.115.72.0",Kendal Bartoletti,fever,054-49-3703,10.9.2015,177 Howell Gateway Unit 66,Clinton,2492,http://www.youtube.com/watch?v=S4tlfV3_yEI&feature=related,7076061248,DS7982329,02947 564109,NathanialKuhic@epost.de,4154205,199.115.72.0
172,"Mrs Fidel Davis is suffering from cold . Her SSN 543 72 3063 . She contacted on 28.4.1975. . Patient is from 188 Cummerata Glen Unit 37 Salem , 1013 .
Advised her to reach http://www.youtube.com/watch?v=OpHsUBxrBb0 . Patient account number is  7210132648 . Medical record Id DS6526608 . Her 06982-918-0184 Email is PollyRomaguera@epix.net
Patient Id L618526 . IP address 193.93.28.0",Fidel Davis,cold,543 72 3063,28.4.1975.,188 Cummerata Glen Unit 37,Salem,1013,http://www.youtube.com/watch?v=OpHsUBxrBb0,7210132648,DS6526608,06982-918-0184,PollyRomaguera@epix.net,L618526,193.93.28.0
173,"Mr Stanley Douglas is suffering from cancer . Patient SSN 167810273 . He arrived on 25/3/1933 . Patient is from 913 Schiller Well Apt 80 Scituate , 2145 .
Advised him to reach http://tweetphoto.com/31153145 . Patient account number 6406538319 . Medical record Id MR8393974 . Patient 07092-19286 71 Email is MindyHintz@bimamail.com
Patient Id 8872727 . IP address 36.37.128.0",Stanley Douglas,cancer,167810273,25/3/1933,913 Schiller Well Apt 80,Scituate,2145,http://tweetphoto.com/31153145,6406538319,MR8393974,07092-19286 71,MindyHintz@bimamail.com,8872727,36.37.128.0
174,"Mr Lorelei Nitzsche has  cough . Patient SSN 863961164 . He came on 23/9/2024 . Patient home address is  820 Mante Throughway Newton , 1201 .
we gave him http://yfrog.com/iykristenstewartinrolandmj . Patient account number 1415903139 . Medical record Id DS0787149 . Patient 0273 03 0415 Email is WillaPaucek@chaiyomail.com
Patient Id R1002200 . Here is the IP 137.155.0.0",Lorelei Nitzsche,cough,863961164,23/9/2024,820 Mante Throughway,Newton,1201,http://yfrog.com/iykristenstewartinrolandmj,1415903139,DS0787149,0273 03 0415,WillaPaucek@chaiyomail.com,R1002200,137.155.0.0
175,"Mr Cecil Gottlieb is suffering from cold . Patient SSN 111-69-8921 . He arrived on 20/4/2004 . Patient is from 944 Green Wall Apt 42 Marshfield , 2190 .
Advised him to reach http://www.youtube.com/watch?v=eVufet_zJzw . Patient account number 9620693040 . Medical record Id MR7352182 . Patient 0986-2764590 Email is LennyTurcotte@edmail.com
Patient Id Q3758103 . IP address 188.191.0.0",Cecil Gottlieb,cold,111-69-8921,20/4/2004,944 Green Wall Apt 42,Marshfield,2190,http://www.youtube.com/watch?v=eVufet_zJzw,9620693040,MR7352182,0986-2764590,LennyTurcotte@edmail.com,Q3758103,188.191.0.0
176,"Mrs Adrian Davis is suffering from cough . Her SSN 749 25 3016 . She contacted on 25/3/1933 . Patient is from 276 Ruecker Quay Taunton , 2601 .
Advised her to reach http://soundcloud.com/scapade/s-capade-b2b-ace-mc-pat-live-oxygen-19-6-10 . Patient account number is  1352774072 . Medical record Id CA9884080 . Her 082845-19 19 Email is BenedictFadel@frompennsylvania.com
Patient Id 1950560 . IP address 185.109.28.0",Adrian Davis,cough,749 25 3016,25/3/1933,276 Ruecker Quay,Taunton,2601,http://soundcloud.com/scapade/s-capade-b2b-ace-mc-pat-live-oxygen-19-6-10,1352774072,CA9884080,082845-19 19,BenedictFadel@frompennsylvania.com,1950560,185.109.28.0
177,"Mr Devona Erdman is suffering from headache . Patient SSN 318-09-9172 . He arrived on 15.7.1944 . Patient is from 843 Wyman Village Agawam , 2081 .
Advised him to reach http://www.youtube.com/watch?v=i23YNVoebDI&feature=player_embedded . Patient account number 9244498282 . Medical record Id CA0801525 . Patient 058215 28 60 Email is MadieBeahan@mailme.dk
Patient Id O1624960 . IP address 188.241.14.0",Devona Erdman,headache,318-09-9172,15.7.1944,843 Wyman Village,Agawam,2081,http://www.youtube.com/watch?v=i23YNVoebDI&feature=player_embedded,9244498282,CA0801525,058215 28 60,MadieBeahan@mailme.dk,O1624960,188.241.14.0
178,"Mrs Joleen Quitzon is suffering from Diarrhea . Her SSN 356-14-5193 . She contacted on 1/7/1998 . Patient is from 168 Runolfsdottir Run Unit 81 Lynn , 1464 .
Advised her to reach http://soundcloud.com/florian-busse . Patient account number is  3188839933 . Medical record Id ID6735058 . Her 07535040 68 Email is JoMcCullough@mail2kiss.com
Patient Id 68531593 . IP address 70.36.48.0",Joleen Quitzon,Diarrhea,356-14-5193,1/7/1998,168 Runolfsdottir Run Unit 81,Lynn,1464,http://soundcloud.com/florian-busse,3188839933,ID6735058,07535040 68,JoMcCullough@mail2kiss.com,68531593,70.36.48.0
179,"Mrs Malorie Abshire is suffering from Diarrhea . Her SSN 048-46-0846 . She contacted on 6/5/1904 . Patient is from 281 Watsica Trafficway Boston , 1060 .
Advised her to reach http://www.flickr.com/photos/dreaded_thommo/4764738188/in/set-72157624427673830/ . Patient account number is  0719782238 . Medical record Id DS1730123 . Her 026 439 25 29 Email is HarveyConnelly@coolsend.com
Patient Id X6764230 . IP address 103.215.116.0",Malorie Abshire,Diarrhea,048-46-0846,6/5/1904,281 Watsica Trafficway,Boston,1060,http://www.flickr.com/photos/dreaded_thommo/4764738188/in/set-72157624427673830/,0719782238,DS1730123,026 439 25 29,HarveyConnelly@coolsend.com,X6764230,103.215.116.0
180,"Mr Trevor Kemmer is suffering from headache . Patient SSN 645-90-3022 . He arrived on 3.11.1904 . Patient is from 140 Oberbrunner Bridge Newburyport , 2141 .
Advised him to reach http://soundcloud.com/lettersandsigns . Patient account number 0965523622 . Medical record Id CA5411868 . Patient 0235038 8692 Email is WenonaKonopelski@themail.com
Patient Id D7595653 . IP address 202.182.160.0",Trevor Kemmer,headache,645-90-3022,3.11.1904,140 Oberbrunner Bridge,Newburyport,2141,http://soundcloud.com/lettersandsigns,0965523622,CA5411868,0235038 8692,WenonaKonopelski@themail.com,D7595653,202.182.160.0
181,"Mrs Williams Hintz is suffering from fever . Her SSN 209572294 . She contacted on 18.12.1917 . Patient is from 775 Johnson Arcade Unit 42 Greenfield , 2119 .
Advised her to reach http://tweetphoto.com/31148053 . Patient account number is  2377330878 . Medical record Id DS1062638 . Her 04672 681-3180 Email is JoséEduardoMeraz@mail2angela.com
Patient Id GHTA97720 . IP address 103.48.92.0",Williams Hintz,fever,209572294,18.12.1917,775 Johnson Arcade Unit 42,Greenfield,2119,http://tweetphoto.com/31148053,2377330878,DS1062638,04672 681-3180,JoséEduardoMeraz@mail2angela.com,GHTA97720,103.48.92.0
182,"Mr Mina Gusikowski has  cough . Patient SSN 490-69-6696 . He came on 4/6/1971 . Patient home address is  814 Blick Avenue Unit 22 Taunton , 1020 .
we gave him http://tweetphoto.com/31153145 . Patient account number 7622149842 . Medical record Id MR0382254 . Patient 04397 95140 2 Email is EdmundoDach@stoned.com
Patient Id 49370062 . Here is the IP 195.214.220.0",Mina Gusikowski,cough,490-69-6696,4/6/1971,814 Blick Avenue Unit 22,Taunton,1020,http://tweetphoto.com/31153145,7622149842,MR0382254,04397 95140 2,EdmundoDach@stoned.com,49370062,195.214.220.0
183,"Mrs Laticia Moen is suffering from cancer . Her SSN 946-79-9278 . She contacted on 22/12/1971 . Patient is from 1062 Conn Well Suite 4 Scituate , 1810 .
Advised her to reach http://soundcloud.com/klebe-1/klebe-june-promo-mix-2010-world-cup-edition . Patient account number is  9385156686 . Medical record Id CA4120056 . Her 042412316 Email is LouieJacobi@gyorsposta.hu
Patient Id J60715469 . IP address 103.30.168.0",Laticia Moen,cancer,946-79-9278,22/12/1971,1062 Conn Well Suite 4,Scituate,1810,http://soundcloud.com/klebe-1/klebe-june-promo-mix-2010-world-cup-edition,9385156686,CA4120056,042412316,LouieJacobi@gyorsposta.hu,J60715469,103.30.168.0
184,"Mr Sheba Ziemann is suffering from headache . Patient SSN 805 14 1893 . He arrived on 11/11/1980 . Patient is from 1023 Rippin Extension Apt 6 Worcester , 1095 .
Advised him to reach http://soundcloud.com/carsten-k/carsten-k-the-way-you-look/download . Patient account number 7013031075 . Medical record Id DS9809718 . Patient 03167 29-64-98 Email is BradParker@mail2evelyn.com
Patient Id Y61213039 . IP address 199.175.101.0",Sheba Ziemann,headache,805 14 1893,11/11/1980,1023 Rippin Extension Apt 6,Worcester,1095,http://soundcloud.com/carsten-k/carsten-k-the-way-you-look/download,7013031075,DS9809718,03167 29-64-98,BradParker@mail2evelyn.com,Y61213039,199.175.101.0
185,"Mrs Art Schinner is suffering from Diarrhea . Her SSN 159428090 . She contacted on 1972/6/22 . Patient is from 953 Zulauf Flat Apt 96 Malden , 1220 .
Advised her to reach http://zoernert.posterous.com/rnf-wetter-jetzt-bei-youtube-morgen-wird-es-f . Patient account number is  6061162294 . Medical record Id MR4986131 . Her 021-245 052 Email is EarlFriesen@nettaxi.com
Patient Id U726321 . IP address 194.32.203.0",Art Schinner,Diarrhea,159428090,1972/6/22,953 Zulauf Flat Apt 96,Malden,1220,http://zoernert.posterous.com/rnf-wetter-jetzt-bei-youtube-morgen-wird-es-f,6061162294,MR4986131,021-245 052,EarlFriesen@nettaxi.com,U726321,194.32.203.0
